partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
4,12,1,14310,CST-E has determined that this component is not generally safe to use.,v6:e9f189e62ba243f29468ca8319111f04,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fantixss%2Freview-1.md""}}"
4,12,1,64755,CST-E has determined that this component is not generally safe to use.,v6:1aba0e89154341a3b57d7dc712f12c0e,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fconventional-changelog%2Freview-1.md""}}"
4,12,1,2,WS-2018-0114,v2:76f74bb4-7473-428c-ab5f-694f7584f609,2,2,"{""WhiteSource"":{""Url"":""https://hackerone.com/reports/320269""}}"
4,12,1,68605,GHSA-57cf-349j-352g,v6:090145478475494eb9044681d6995bfd,1,2,"{""GitHubAdvisories"":{""Url"":""https://hackerone.com/reports/320269""}}"
4,12,1,49616,CVE-2020-26226,v6:6c5469bc0b854de6a781c66e9c2ea906,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/semantic-release/semantic-release/security/advisories/GHSA-r2j6-p67h-q639""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-26226""}}"
4,12,1,69015,CST-E has determined that this component is not generally safe to use.,v6:b9f4a1fe0fee40768d2d510fd857cb5f,3,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmds-dataaccessclient%2Freview-1.md""}}"
4,12,1,64792,CST-E has determined that this component is not generally safe to use.,v6:ab2615e412e34fdf9ed1a38da3e17df6,0,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fstring_decoder%2Freview-1.md""}}"
4,12,1,85656,CVE-2016-10707,v6:e7af9066d6234bc4bbd5ed6ca8e54820,2,1,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2016-10707""}}"
4,12,1,2246,CVE-2011-4969,v2:669ac296-b660-4d18-bb4d-6ea5a0abc62e,1,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2011-4969""}}"
4,12,1,45019,GHSA-5947-m4fg-xhqg,v6:31c562e879684b7f9b351edcaa0d2750,2,2,"{""GitHubAdvisories"":{""Url"":""https://www.npmjs.com/advisories/1069""}}"
4,12,1,24176,WS-2019-0182,v2:a26b6585-4759-4fcb-88d5-267cbd423492,1,2,"{""WhiteSource"":{""Url"":""https://github.com/lodash/lodash/compare/4.6.0...4.6.1""}}"
4,12,1,64003,CST-E has determined that this component is not generally safe to use.,v6:e66df0a91aee4a2b9edadaffa8ff21b7,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fnewtonsoft.json%2Freview-4.md""}}"
4,12,1,64004,CST-E has determined that this component is not generally safe to use.,v6:aefe538981b84ec7add80171a182d0cd,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fnewtonsoft.json%2Freview-1.md""}}"
4,12,1,10485,CVE-2018-1002206,v2:a206a815-ccb4-4d80-923f-d9bdc958cfca,1,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/adamhathcock/sharpcompress/commit/80ceb1c375fdb1b4ffba16528c99089e804ce61f""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2018-1002206""}}"
4,12,1,19441,CST-E has determined that this component is not generally safe to use.,v6:6cc719bd00774edda639685886e96b36,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fcompression%2Freview-1.md""}}"
4,12,1,86746,CVE-2022-29245,v6:fcd58784d75f4f6abe492a5b1094849b,1,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/sshnet/SSH.NET/security/advisories/GHSA-72p8-v4hg-v45p""}}"
4,12,1,18269,CVE-2019-10101,v2:8671d27f-45a4-46d6-a00f-f26403690d2c,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-10101""}}"
